Serial,Episode_Title,Image_URL,Description,Mode,Video_URL,,year,airdate,runtime,Visibility
The Keys of Marinus,Part Three: The Screaming Jungle,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gcyjwm.jpg,The next key is hidden in a deadly jungle that seems to be alive.,Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1ph4/doctor-who-19631996-season-1-the-keys-of-marinus-the-screaming-jungle,,1964,1964-05-02,25,Shown
The Keys of Marinus,Part Four: The Snows of Terror,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gcyjq6.jpg,A mountainous region guarded by a trapper poses the next challenge in their quest.,Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1pjf/doctor-who-19631996-season-1-the-keys-of-marinus-the-snows-of-terror,,1964,1964-05-09,25,Shown
The Keys of Marinus,Part Five: Sentence of Death,https://ichef.bbci.co.uk/images/ic/1920x1080/p00v29td.jpg,"In the city of Millennius, Ian is accused of murder and must prove his innocence.",Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1pkd/doctor-who-19631996-season-1-the-keys-of-marinus-sentence-of-death,,1964,1964-05-16,25,Shown
The Keys of Marinus,Part Six: The Keys of Marinus,https://ichef.bbci.co.uk/images/ic/1920x1080/p00v29v6.jpg,The final confrontation to secure the last key and the fate of Marinus.,Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1pl5/doctor-who-19631996-season-1-the-keys-of-marinus-the-keys-of-marinus,,1964,1964-05-23,25,Shown
The Aztecs,Part One: The Temple of Evil,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gpn0zw.jpg,Barbara is mistaken for a reincarnation of an Aztec high priestess but struggles with their customs.,Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1ply/doctor-who-19631996-season-1-the-aztecs-the-temple-of-evil,,1964,1964-05-30,25,Shown
The Aztecs,Part Two: The Warriors of Death,https://ichef.bbci.co.uk/images/ic/1920x1080/p00v2b02.jpg,"Barbara attempts to change Aztec history, while Ian is forced to fight for his life.",Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1pmp/doctor-who-19631996-season-1-the-aztecs-the-warriors-of-death,,1964,1964-06-06,25,Shown
The Aztecs,Part Three: The Bride of Sacrifice,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gpmyj3.jpg,"The Doctor inadvertently gets engaged, complicating their escape plans.",Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1pnd/doctor-who-19631996-season-1-the-aztecs-the-bride-of-sacrifice,,1964,1964-06-13,25,Shown
The Aztecs,Part Four: The Day of Darkness,https://ichef.bbci.co.uk/images/ic/1920x1080/p0glvr2r.jpg,The crew works to prevent a human sacrifice and escape back to the TARDIS.,Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1pp3/doctor-who-19631996-season-1-the-aztecs-the-day-of-darkness,,1964,1964-06-20,25,Shown
The Sensorites,Part One: Strangers in Space,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gkw6hf.jpg,"The TARDIS crew lands on a spaceship orbiting the Sense-Sphere, and they encounter the Sensorites, a telepathic race.",Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1ppt/doctor-who-19631996-season-1-the-sensorites-strangers-in-space,,1964,1964-06-27,25,Shown
The Sensorites,Part Two: The Unwilling Warriors,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gkw907.jpg,"The Sensorites express their fear of humans, while the crew discovers the cause of the spaceship crew's illness.",Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1pqg/doctor-who-19631996-season-1-the-sensorites-the-unwilling-warriors,,1964,1964-07-04,25,Shown
The Sensorites,Part Three: Hidden Danger,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gkwb7t.jpg,"Attempting to cure the illness, the Doctor visits the Sense-Sphere, uncovering deeper troubles.",Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1pr7/doctor-who-19631996-season-1-the-sensorites-hidden-danger,,1964,1964-07-11,25,Shown
The Sensorites,Part Four: A Race Against Death,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gkwbr7.jpg,"The Doctor works to find a cure for the Sensorite illness, dealing with intrigue within their society.",Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1ps1/doctor-who-19631996-season-1-the-sensorites-a-race-against-death,,1964,1964-07-18,25,Shown
The Sensorites,Part Five: Kidnap,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gkwc0r.jpg,"As the Doctor comes closer to a cure, Ian is stricken, and Susan is kidnapped by the Sensorites.",Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1psq/doctor-who-19631996-season-1-the-sensorites-kidnap,,1964,1964-07-25,25,Shown
The Sensorites,Part Six: A Desperate Venture,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gkwc6c.jpg,The Doctor confronts the Sensorites' corrupt City Administrator to rescue Susan and cure Ian.,Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1ptk/doctor-who-19631996-season-1-the-sensorites-a-desperate-venture,,1964,1964-08-01,25,Shown
The Reign of Terror,Part One: A Land of Fear,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gq2f3b.jpg,The TARDIS lands near Paris during the French Revolution,Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1pv9/doctor-who-19631996-season-1-the-reign-of-terror-a-land-of-fear,,1964,1964-08-08,25,Shown
The Reign of Terror,Part Two: Guests of Madame Guillotine,https://ichef.bbci.co.uk/images/ic/1920x1080/p00v2bn8.jpg,"The crew is separated; Ian and Barbara are taken prisoner, and the Doctor is mistaken for a revolutionary.",Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1pvy/doctor-who-19631996-season-1-the-reign-of-terror-guests-of-madame-guillotine,,1964,1964-08-15,25,Shown
The Reign of Terror,Part Three: A Change of Identity,https://ichef.bbci.co.uk/images/ic/1920x1080/p0g6zy6k.jpg,"The Doctor adopts a disguise to rescue his friends, engaging in a dangerous game of deception.",Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1pwr/doctor-who-19631996-season-1-the-reign-of-terror-a-change-of-identity,,1964,1964-08-22,25,Shown
The Reign of Terror,Part Four: The Tyrant of France (Animated),https://ichef.bbci.co.uk/images/ic/1920x1080/p00v2bq7.jpg,"The Doctor infiltrates a prison, uncovering a plot to overthrow Robespierre.",Iplayer,https://www.bbc.co.uk/iplayer/episode/p0gh799s/doctor-who-19631996-season-1-the-reign-of-terror-the-tyrant-of-france-animated,,1964,1964-08-29,25,Shown
The Reign of Terror,Part Five: A Bargain of Necessity (Animated),https://ichef.bbci.co.uk/images/ic/1920x1080/p00v2brg.jpg,The Doctor and his companions make deals to ensure their survival and the safety of others.,Iplayer,https://www.bbc.co.uk/iplayer/episode/p0gh7h45/doctor-who-19631996-season-1-the-reign-of-terror-a-bargain-of-necessity-animated,,1964,1964-09-05,25,Shown
The Reign of Terror,Part Six: Prisoners of Conciergerie,https://ichef.bbci.co.uk/images/ic/1920x1080/p00v2brx.jpg,"The crew faces the climax of their adventure, struggling to reunite and escape France amidst the Revolution.",Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1q20/doctor-who-19631996-season-1-the-reign-of-terror-prisoners-of-conciergerie,,1964,1964-09-12,25,Shown
Planet of Giants,Part One: Planet of Giants,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gl00wk.jpg,The TARDIS crew finds themselves miniaturized and in a deadly struggle in a contemporary Earth garden.,Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1q48/doctor-who-19631996-season-2-planet-of-giants-planet-of-giants,,1964,1964-10-31,25,Shown
Planet of Giants,Part Two: Dangerous Journey,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gl00zg.jpg,"Facing the dangers of the insect world and pesticides, the crew seeks to alert humans to a murder plot.",Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1q54/doctor-who-19631996-season-2-planet-of-giants-dangerous-journey,,1964,1964-11-07,25,Shown
Planet of Giants,Part Three: Crisis,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gl011j.jpg,"Working to regain their proper size, the Doctor and his companions aim to stop the spread of a dangerous chemical.",Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1q88/doctor-who-19631996-season-2-planet-of-giants-crisis,,1964,1964-11-14,25,Shown
The Dalek Invasion of Earth,Part One: World's End,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gsfx1x.jpg,"The TARDIS lands in a future Earth, devastated and under Dalek occupation.",Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1qf2/doctor-who-19631996-season-2-the-dalek-invasion-of-earth-worlds-end,,1964,1964-11-21,25,Shown
The Dalek Invasion of Earth,Part Two: The Daleks,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gl02x0.jpg,"Discovering the Daleks' plan to mine to the Earth's core, the crew splits up to gather allies.",Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1qft/doctor-who-19631996-season-2-the-dalek-invasion-of-earth-the-daleks,,1964,1964-11-28,25,Shown
The Dalek Invasion of Earth,Part Three: Day of Reckoning,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gl036m.jpg,The Doctor and companions lead a human resistance against the Dalek occupiers.,Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1qgg/doctor-who-19631996-season-2-the-dalek-invasion-of-earth-day-of-reckoning,,1964,1964-12-05,25,Shown
The Dalek Invasion of Earth,Part Four: The End of Tomorrow,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gl042x.jpg,"Facing overwhelming odds, the resistance fights to disrupt the Dalek's catastrophic scheme.",Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1qh6/doctor-who-19631996-season-2-the-dalek-invasion-of-earth-the-end-of-tomorrow,,1964,1964-12-12,25,Shown
The Dalek Invasion of Earth,Part Five: The Waking Ally,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gl03nw.jpg,"With the Dalek plan nearing fruition, unexpected allies emerge from the depths.",Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1qhv/doctor-who-19631996-season-2-the-dalek-invasion-of-earth-the-waking-ally,,1964,1964-12-19,25,Shown
The Dalek Invasion of Earth,Part Six: Flashpoint,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gl03bt.jpg,A final stand against the Daleks aims to liberate Earth and secure the future of humanity.,Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1qjm/doctor-who-19631996-season-2-the-dalek-invasion-of-earth-flashpoint,,1964,1964-12-26,25,Shown
The Rescue,Part One: The Powerful Enemy,https://ichef.bbci.co.uk/images/ic/1920x1080/p00v1swg.jpg,"Arriving on Dido, the Doctor and companions encounter a survivor threatened by a deadly creature.",Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1qk9/doctor-who-19631996-season-2-the-rescue-the-powerful-enemy,,1965,1965-01-02,25,Shown
The Rescue,Part Two: Desperate Measures,https://ichef.bbci.co.uk/images/ic/1920x1080/p00v1swm.jpg,"The truth about the situation on Dido is revealed, leading to a moral dilemma and a bid for justice.",Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1qky/doctor-who-19631996-season-2-the-rescue-desperate-measures,,1965,1965-01-09,25,Shown
The Romans,Part One: The Slave Traders,https://ichef.bbci.co.uk/images/ic/1920x1080/p00v1t3n.jpg,"In ancient Rome, the Doctor is mistaken for a lyre player, while Ian and Barbara are taken as slaves.",Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1qlm/doctor-who-19631996-season-2-the-romans-the-slave-traders,,1965,1965-01-16,25,Shown
The Romans,Part Two: All Roads Lead to Rome,https://ichef.bbci.co.uk/images/ic/1920x1080/p00v1t5m.jpg,Barbara and Ian face the horrors of slavery as the Doctor gets entangled in court intrigue.,Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1qm8/doctor-who-19631996-season-2-the-romans-all-roads-lead-to-rome,,1965,1965-01-23,25,Shown
The Romans,Part Three: Conspiracy,https://ichef.bbci.co.uk/images/ic/1920x1080/p00v1t6t.jpg,"Amidst Nero's Rome, plots swirl around the Doctor and his companions, leading to unexpected adventures.",Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1qmx/doctor-who-19631996-season-2-the-romans-conspiracy,,1965,1965-01-30,25,Shown
The Romans,Part Four: Inferno,https://ichef.bbci.co.uk/images/ic/1920x1080/p00v1t8m.jpg,"The Great Fire of Rome has unexpected origins, with the Doctor and his friends playing pivotal roles.",Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1qph/doctor-who-19631996-season-2-the-romans-inferno,,1965,1965-02-06,25,Shown
The Web Planet,Part One: The Web Planet,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gl0jpc.jpg,"The TARDIS is dragged to the planet Vortis, where the crew encounters the Zarbi, giant ant-like creatures controlled by the Animus.",Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1qq5/doctor-who-19631996-season-2-the-web-planet-the-web-planet,,1965,1965-02-13,25,Shown
The Web Planet,Part Two: The Zarbi,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gl0jsx.jpg,"Captured by the Zarbi, the Doctor and his companions learn of the planet's plight and the opposing Menoptra.",Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1qqv/doctor-who-19631996-season-2-the-web-planet-the-zarbi,,1965,1965-02-20,25,Shown
The Web Planet,Part Three: Escape to Danger,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gl0k0h.jpg,The crew allies with the Menoptra to plan an escape and fight back against the Animus' control.,Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1qrh/doctor-who-19631996-season-2-the-web-planet-escape-to-danger,,1965,1965-02-27,25,Shown
The Web Planet,Part Four: Crater of Needles,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gl0k43.jpg,"On their mission to aid the Menoptra, the team faces treacherous terrain and the venomous larvae guns.",Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1qs7/doctor-who-19631996-season-2-the-web-planet-crater-of-needles,,1965,1965-03-06,25,Shown
The Web Planet,Part Five: Invasion,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gl0k6p.jpg,"With a full-scale Menoptra invasion beginning, the Doctor works to undermine the Animus from within.",Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1qsz/doctor-who-19631996-season-2-the-web-planet-invasion,,1965,1965-03-13,25,Shown
The Web Planet,Part Six: The Centre,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gl0kcb.jpg,"In a final confrontation, the Doctor and his allies target the heart of the Animus' power to free Vortis.",Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1qtp/doctor-who-19631996-season-2-the-web-planet-the-centre,,1965,1965-03-20,25,Shown
The Crusade,Part One: The Lion,https://ichef.bbci.co.uk/images/ic/1920x1080/p00v1v5w.jpg,"Landing in the midst of the Third Crusade, the TARDIS crew is caught between Richard the Lionheart and Saladin.",Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1qz8/doctor-who-19631996-season-2-the-crusade-the-lion,,1965,1965-03-27,25,Shown
The Crusade,Part Two: The Knight of Jaffa,https://ichef.bbci.co.uk/images/ic/1920x1080/p00v1v6b.jpg,"Ian becomes a knight on a quest for Barbara, captured and taken to Saladin's court.",None,,,1965,1965-04-03,25,Shown
The Crusade,Part Three: The Wheel of Fortune,https://ichef.bbci.co.uk/images/ic/1920x1080/p00v1v6s.jpg,"Barbara and Vicki navigate the dangers of the court, while the Doctor seeks a way to rescue them.",Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1r8y/doctor-who-19631996-season-2-the-crusade-the-wheel-of-fortune,,1965,1965-04-10,25,Shown
The Crusade,Part Four: The Warlords,https://ichef.bbci.co.uk/images/ic/1920x1080/p00v1v7k.jpg,"With diplomacy and cunning, the crew works to ensure their safety and the success of their mission in the Crusades.",None,,,1965,1965-04-17,25,Shown
The Space Museum,Part One: The Space Museum,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gl0mgf.jpg,"The TARDIS lands on Xeros, where the crew discovers disturbing future displays of themselves in a museum.",Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1rqb/doctor-who-19631996-season-2-the-space-museum-the-space-museum,,1965,1965-04-24,25,Shown
The Space Museum,Part Two: The Dimensions of Time,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gl0mrd.jpg,"Attempting to alter their future, the crew navigates the complexities of time and the oppressive Morok regime.",Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1s4c/doctor-who-19631996-season-2-the-space-museum-the-dimensions-of-time,,1965,1965-05-01,25,Shown
The Space Museum,Part Three: The Search,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gl0n26.jpg,"As Vicki joins rebel Xerons, the Doctor and Ian are captured, complicating their plans to change the future.",Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1s8b/doctor-who-19631996-season-2-the-space-museum-the-search,,1965,1965-05-08,25,Shown
The Space Museum,Part Four: The Final Phase,https://ichef.bbci.co.uk/images/ic/1920x1080/p00v1vbd.jpg,"With time running out, the crew and the Xerons launch a final bid to alter their destinies and overthrow the Moroks.",Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v1s61/doctor-who-19631996-season-2-the-space-museum-the-final-phase,,1965,1965-05-15,25,Shown
The Chase,Part One: The Executioners,https://ichef.bbci.co.uk/images/ic/1920x1080/p00v1vfk.jpg,"The Daleks unveil a time machine of their own, beginning a chase through time and space to exterminate the Doctor.",Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v23c8/doctor-who-19631996-season-2-the-chase-the-executioners,,1965,1965-05-22,25,Shown
The Chase,Part Two: The Death of Time,https://ichef.bbci.co.uk/images/ic/1920x1080/p00v1vgk.jpg,"Fleeing through history, the crew encounters dangers while the Daleks remain in hot pursuit.",Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v23m0/doctor-who-19631996-season-2-the-chase-the-death-of-time,,1965,1965-05-29,25,Shown
The Chase,Part Three: Flight Through Eternity,https://ichef.bbci.co.uk/images/ic/1920x1080/p00v1vhd.jpg,"The chase continues across various eras, including encounters with historical figures and futuristic threats.",Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v23rx/doctor-who-19631996-season-2-the-chase-flight-through-eternity,,1965,1965-06-05,25,Shown
The Chase,Part Four: Journey into Terror,https://ichef.bbci.co.uk/images/ic/1920x1080/p00v1vjb.jpg,"Landing in a haunted house, both the TARDIS crew and the Daleks face unexpected horrors.",Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v23sy/doctor-who-19631996-season-2-the-chase-journey-into-terror,,1965,1965-06-12,25,Shown
The Chase,Part Five: The Death of Doctor Who,https://ichef.bbci.co.uk/images/ic/1920x1080/p00v1vjp.jpg,"The Daleks' plan to trap the Doctor culminates on the planet Mechanus, where they create a dangerous doppelganger.",Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v23tv/doctor-who-19631996-season-2-the-chase-the-death-of-dr-who,,1965,1965-06-19,25,Shown
The Chase,Part Six: The Planet of Decision,https://ichef.bbci.co.uk/images/ic/1920x1080/p00v1vk9.jpg,"Amidst a final showdown with the Daleks, alliances are tested, and the future of the crew takes unexpected turns.",Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v23w9/doctor-who-19631996-season-2-the-chase-the-planet-of-decision,,1965,1965-06-26,25,Shown
The Time Meddler,Part One: The Watcher,https://ichef.bbci.co.uk/images/ic/1920x1080/p00v1vlb.jpg,"Arriving in Northumbria, 1066, the Doctor and his companions stumble upon a Viking helmet and a mysterious monk with advanced technology.",Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v23y0/doctor-who-19631996-season-2-the-time-meddler-the-watcher,,1965,1965-07-03,25,Shown
The Time Meddler,Part Two: The Meddling Monk,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gl0blq.jpg,"The Doctor confronts the Monk and discovers he is another Time Lord, meddling with Earth's history.",Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v2412/doctor-who-19631996-season-2-the-time-meddler-the-meddling-monk,,1965,1965-07-10,25,Shown
The Time Meddler,Part Three: A Battle of Wits,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gl0bxl.jpg,The Doctor learns of the Monk's plan to alter the outcome of the Battle of Hastings.,Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v242f/doctor-who-19631996-season-2-the-time-meddler-a-battle-of-wits,,1965,1965-07-17,25,Shown
The Time Meddler,Part Four: Checkmate,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gl0c6k.jpg,"The Doctor thwarts the Monk's plans, leaving him stranded as punishment for his interference.",Iplayer,https://www.bbc.co.uk/iplayer/episode/p00v244w/doctor-who-19631996-season-2-the-time-meddler-checkmate,,1965,1965-07-24,25,Shown
